CANT DE DATOS;AÑO;MES;INDICE PALMER
248;1990;8;1
249;1990;9;0,5
250;1990;10;1,7
251;1990;11;2,5
252;1990;12;3,2
253;1991;1;3,4
254;1991;2;2,9
255;1991;3;2,2
256;1991;4;3,6
257;1991;5;3,9
258;1991;6;4,3
259;1991;7;4,2
260;1991;8;4,9
261;1991;9;4,2
262;1991;10;3,4
263;1991;11;3,1
264;1991;12;4,9
265;1992;1;4,2
266;1992;2;3,5
267;1992;3;2,8
268;1992;4;2,3
269;1992;5;2
270;1992;6;1,7
271;1992;7;1,2
272;1992;8;1,5
273;1992;9;2,4
274;1992;10;1,9
275;1992;11;2,6
276;1992;12;3,8
277;1993;1;4,6
278;1993;2;3,6
279;1993;3;2,4
280;1993;4;2,9
281;1993;5;3,3
282;1993;6;4,1
283;1993;7;3,5
284;1993;8;3,1
285;1993;9;2,7
286;1993;10;4
287;1993;11;4,1
288;1993;12;5,3
289;1994;1;4
290;1994;2;3,5
291;1994;3;2,7
292;1994;4;2,9
293;1994;5;3,1
294;1994;6;3
295;1994;7;2,6
296;1994;8;2,4
297;1994;9;2,1
298;1994;10;2,1
299;1994;11;2,3
300;1994;12;-0,3
301;1995;1;-0,2
302;1995;2;-0,1
303;1995;3;-0,7
304;1995;4;-1,2
305;1995;5;-1,4
306;1995;6;-1,7
307;1995;7;-2,1
308;1995;8;-2,5
309;1995;9;-3
310;1995;10;-3
311;1995;11;-2,6
312;1995;12;-3,3
313;1996;1;-3,4
314;1996;2;-2,7
315;1996;3;-2,7
316;1996;4;-2,2
317;1996;5;-2,3
318;1996;6;-2,3
319;1996;7;-2,6
320;1996;8;-2,7
321;1996;9;-2,9
322;1996;10;-2,2
323;1996;11;-2,6
324;1996;12;-3,2
325;1997;1;-3,3
326;1997;2;-3,9
327;1997;3;-4,6
328;1997;4;-4,6
329;1997;5;-4,8
330;1997;6;-4,3
331;1997;7;-4
332;1997;8;-3,8
333;1997;9;-4,1
334;1997;10;-3,7
335;1997;11;0,2
336;1997;12;0,5
337;1998;1;1,4
338;1998;2;2
339;1998;3;-0,3
340;1998;4;-0,6
341;1998;5;-0,2
342;1998;6;-0,4
343;1998;7;-0,5
344;1998;8;-0,7
345;1998;9;-1,1
346;1998;10;-1,7
347;1998;11;-1,4
348;1998;12;-1,4
349;1999;1;-2,2
350;1999;2;-2,7
351;1999;3;-2,4
352;1999;4;-2,1
353;1999;5;-2,3
354;1999;6;-1,9
355;1999;7;-2
356;1999;8;-2,2
357;1999;9;-1,9
358;1999;10;-2,2
359;1999;11;-2,9
360;1999;12;-2,3
361;2000;1;-2,4
362;2000;2;-2,2
363;2000;3;-2,6
364;2000;4;0,6
365;2000;5;1,6
366;2000;6;1,2
367;2000;7;1
368;2000;8;1,1
369;2000;9;0,6
370;2000;10;1,7
371;2000;11;2,1
372;2000;12;2,2
373;2001;1;2,7
374;2001;2;2,1
375;2001;3;3,2
376;2001;4;3,2
377;2001;5;2,7
378;2001;6;2,3
379;2001;7;1,7
380;2001;8;2,2
381;2001;9;2,5
382;2001;10;2,7
383;2001;11;0
384;2001;12;-0,2
385;2002;1;-0,8
386;2002;2;-1,6
387;2002;3;1,5
388;2002;4;2
389;2002;5;1,7
390;2002;6;1,4
391;2002;7;1,4
392;2002;8;1,4
393;2002;9;1,3
394;2002;10;0,8
395;2002;11;0,9
396;2002;12;1,3
397;2003;1;1
398;2003;2;1,4
399;2003;3;2
400;2003;4;2,4
401;2003;5;2
402;2003;6;1,4
403;2003;7;1,7
404;2003;8;1,8
405;2003;9;-0,3
406;2003;10;-1,3
407;2003;11;-2,4
408;2003;12;0,5
409;2004;1;0
410;2004;2;-0,6
411;2004;3;-0,5
412;2004;4;0,1
413;2004;5;0,4
414;2004;6;0
415;2004;7;0,4
416;2004;8;0,5
417;2004;9;-0,6
418;2004;10;-0,9
419;2004;11;-0,9
420;2004;12;-0,8
421;2005;1;-0,9
422;2005;2;-0,7
423;2005;3;-0,2
424;2005;4;-0,8
425;2005;5;-1,3
426;2005;6;-1,3
427;2005;7;-1,3
428;2005;8;-1,4
429;2005;9;-1,6
430;2005;10;-1,9
431;2005;11;-2,2
432;2005;12;-2,6
433;2006;1;-2
434;2006;2;-1,9
435;2006;3;-2,3
436;2006;4;-1,2
437;2006;5;-1,5
438;2006;6;-1,2
439;2006;7;-1,3
440;2006;8;-1,3
441;2006;9;-1,7
442;2006;10;-1,8
443;2006;11;0,4
444;2006;12;1,3
445;2007;1;-0,4
446;2007;2;-0,6
447;2007;3;1,3
448;2007;4;-0,3
449;2007;5;-0,2
450;2007;6;-0,3
451;2007;7;-0,6
452;2007;8;-0,8
453;2007;9;0
454;2007;10;-0,1
455;2007;11;-1,3
456;2007;12;-1,4
457;2008;1;-1,8
458;2008;2;-1,6
459;2008;3;-2
460;2008;4;-2,7
461;2008;5;-3,3
462;2008;6;-3,4
463;2008;7;-3,6
464;2008;8;-4
465;2008;9;-4,3
466;2008;10;-4,4
467;2008;11;-4
468;2008;12;-4,4
469;2009;1;-4
470;2009;2;-3,3
471;2009;3;-3,1
472;2009;4;-3,6
473;2009;5;-3,9
474;2009;6;-3,9
475;2009;7;-3,5
476;2009;8;-3,7
477;2009;9;0,6
478;2009;10;-0,5
479;2009;11;0,2
480;2009;12;0,7
481;2010;1;1,4
482;2010;2;2,3
483;2010;3;1,8
484;2010;4;2
485;2010;5;2,2
486;2010;6;1,7
487;2010;7;1,4
488;2010;8;1,1
489;2010;9;1,8
490;2010;10;-0,4
491;2010;11;-0,8
492;2010;12;-0,9
493;2011;1;-0,7
494;2011;2;-0,5
495;2011;3;-0,8
496;2011;4;-1
497;2011;5;-0,2
498;2011;6;-0,1
499;2011;7;-0,3
500;2011;8;-0,6
501;2011;9;-1
502;2011;10;0,9
503;2011;11;1
504;2011;12;-0,9
505;2012;1;-1,5
506;2012;2;-1,1
507;2012;3;-1,2
508;2012;4;-1,8
509;2012;5;-1,5
510;2012;6;-1,6
511;2012;7;-1,8
512;2012;8;1,4
513;2012;9;2,7
514;2012;10;4,8
515;2012;11;4,3
516;2012;12;4,4
517;2013;1;3,4
518;2013;2;2,9
519;2013;3;3,3
520;2013;4;3
521;2013;5;3,3
522;2013;6;3,1
523;2013;7;2,7
524;2013;8;2,1
525;2013;9;1,5
526;2013;10;2,7
527;2013;11;3,2
528;2013;12;2,7
529;2014;1;2,1
530;2014;2;2,7
531;2014;3;2,7
532;2014;4;2,4
533;2014;5;-0,1
534;2014;6;-0,3
535;2014;7;-0,4
536;2014;8;-0,7
537;2014;9;-0,7
538;2014;10;-0,9
539;2014;11;-0,5
540;2014;12;-0,8
541;2015;1;-0,7
542;2015;2;0,9
543;2015;3;1,3
544;2015;4;1,4
545;2015;5;-0,4
546;2015;6;-0,7
547;2015;7;0,6
548;2015;8;2,5
549;2015;9;2,3
550;2015;10;2,1
551;2015;11;2,9
552;2015;12;2,9
553;2016;1;3,2
554;2016;2;4,4
555;2016;3;3,5
556;2016;4;4,3
557;2016;5;3,6
558;2016;6;4,2
559;2016;7;3,8
560;2016;8;3,2
561;2016;9;2,4
562;2016;10;2,1
563;2016;11;1
564;2016;12;1,7
565;2017;1;2,4
566;2017;2;2,5
567;2017;3;2,3
568;2017;4;2,4
569;2017;5;2
570;2017;6;2
571;2017;7;1,7
572;2017;8;1,6
573;2017;9;2,2
574;2017;10;-0,7
575;2017;11;-1
576;2017;12;-0,9
577;2018;1;-2
578;2018;2;-3,1
579;2018;3;-3,7
580;2018;4;0,7
581;2018;5;2,1
582;2018;6;1,6
583;2018;7;1,3
584;2018;8;1,1
585;2018;9;0,6
586;2018;10;0,4
587;2018;11;2,2
588;2018;12;2,1
589;2019;1;2,9
590;2019;2;2,3
591;2019;3;2,4
592;2019;4;2,3
593;2019;5;2,3
594;2019;6;2,1
595;2019;7;2
596;2019;8;1,5
597;2019;9;1
598;2019;10;0,7
599;2019;11;0,7
600;2019;12;0,8
601;2020;1;1,2
602;2020;2;1,5
603;2020;3;-0,1
604;2020;4;0
605;2020;5;-0,5
606;2020;6;-0,9
607;2020;7;-1,3
608;2020;8;-1,7
609;2020;9;-2
610;2020;10;-2,3
611;2020;11;-2,7
612;2020;12;-3,1
613;2021;1;-2
614;2021;2;-2,7
615;2021;3;0,4
616;2021;4;2,5
617;2021;5;2,3
618;2021;6;-0,3
619;2021;7;-0,4
620;2021;8;-0,5
621;2021;9;-0,4
622;2021;10;-0,8
623;2021;11;-0,4
624;2021;12;-1,4
625;2022;1;-2,1
626;2022;2;-2,2
627;2022;3;-2
628;2022;4;-2,1
629;2022;5;-2,4
630;2022;6;-2,7
631;2022;7;-3
632;2022;8;-2,9
633;2022;9;-3,2
634;2022;10;-3,5
635;2022;11;-4
636;2022;12;-4,6
637;2023;1;-4,3
638;2023;2;-4,8
639;2023;3;-4,3
640;2023;4;-4,9
641;2023;5;-4,6
642;2023;6;-4,4
643;2023;7;-4
644;2023;8;-4,2
645;2023;9;-4,1
646;2023;10;-3,8
647;2023;11;-3,6
648;2023;12;0,3
649;2024;1;0,2
650;2024;2;1
651;2024;3;0,5
652;2024;4;1,3
653;2024;5;-0,2
654;2024;6;-0,6
655;2024;7;-0,8
656;2024;8;-0,6
657;2024;9;-1,1
658;2024;10;1,3
659;2024;11;1,7
660;2024;12;0
